                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    135,                 1.0671,                0.98717,                 1.0449,                0.90958,                 0.8783,                0.92629,                0.65206,                 1.0703,                0.74567,                 1.0422,             0.00012668,             0.00012668,             0.00012668
                    136,                 1.0608,                0.97876,                 1.0472,                0.90373,                0.88714,                0.92908,                0.65582,                 1.0607,                0.74633,                 1.0419,              0.0001261,              0.0001261,              0.0001261
                    137,                 1.0667,                 0.9852,                 1.0448,                0.91518,                0.87943,                0.92949,                0.65733,                 1.0608,                0.74128,                 1.0378,             0.00012552,             0.00012552,             0.00012552
                    138,                 1.0621,                0.99436,                 1.0514,                 0.9028,                0.87829,                0.92093,                0.65312,                 1.0626,                0.74334,                 1.0392,             0.00012495,             0.00012495,             0.00012495
                    139,                 1.0604,                0.97882,                 1.0461,                0.90037,                0.88637,                0.92366,                0.65134,                 1.0676,                0.74977,                 1.0446,             0.00012437,             0.00012437,             0.00012437
                    140,                 1.0637,                0.97778,                 1.0479,                0.91127,                0.87755,                0.92871,                0.65506,                 1.0606,                 0.7495,                 1.0386,             0.00012379,             0.00012379,             0.00012379
                    141,                 1.0712,                0.97768,                 1.0468,                0.90586,                0.88278,                0.92726,                0.65662,                  1.051,                0.74462,                 1.0339,             0.00012322,             0.00012322,             0.00012322
                    142,                 1.0529,                0.96642,                 1.0439,                0.92007,                0.87424,                0.93336,                0.65812,                 1.0579,                0.73622,                 1.0338,             0.00012264,             0.00012264,             0.00012264
                    143,                 1.0645,                0.98406,                 1.0536,                0.91335,                0.88134,                0.92725,                0.65509,                 1.0576,                0.74689,                 1.0383,             0.00012206,             0.00012206,             0.00012206
                    144,                 1.0523,                0.97258,                 1.0476,                 0.9287,                0.87616,                0.92691,                0.65698,                 1.0577,                0.73318,                 1.0344,             0.00012148,             0.00012148,             0.00012148
                    145,                 1.0504,                0.97974,                  1.048,                0.92084,                0.88219,                  0.929,                0.65469,                 1.0578,                0.74797,                 1.0391,             0.00012091,             0.00012091,             0.00012091
                    146,                 1.0585,                0.96218,                 1.0505,                0.91428,                0.88177,                0.92848,                0.65372,                 1.0659,                   0.75,                 1.0412,             0.00012033,             0.00012033,             0.00012033
